;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Underbust_down)/Bust_across;0-28.6;28.7-29.4;29.5-30.4;30.5-31.4;31.5-32.4;32.5-33.4;33.5-34.4;34.5-35.4;35.5-36.4;36.5-37.4;37.5-38.4;38.5-39.4;39.5-40.4;40.5-41.4;41.5-42.4;42.5-43.4;43.5-44.4;44.5-45.4;45.5-46.4;46.5-47.4;47.5-48.4;48.5-49.4;49.5-50.4;50.5-51.4;51.5-52.4;52.5-53.4;53.5-54.4;54.5-55.4;55.5-56.4;56.5-57.4;57.5-58.4
26.5-28.4;28AA;28A;28B;28C;28D;28DD/E;28DDD;28G;28H;28I;28J;28K;28L;28M;28N;28O;;;;;;;;;;;;;;;
28.5-30.4;—;—;30AA;30A;30B;30C;30D;30DD;30DDD;30G;30H;30I;30J;30K;30L;30M;;;;;;;;;;;;;;;
30.5-32.4;—;—;—;—;32AA;32A;32B;32C;32D;32DD;32DDD;32G;32H;32I;32J;32K;;;;;;;;;;;;;;;
32.5-34.4;—;—;—;—;—;—;34AA;34A;34B;34C;34D;34DD;34DDD;34G;34H;34I;;;;;;;;;;;;;;;
34.5-36.4;—;—;—;—;—;—;—;—;36AA;36A;36B;36C;36D;36DD;36DDD;36G;;;;;;;;;;;;;;;
36.5-38.4;—;—;—;—;—;—;—;—;—;—;38AA;38A;38B;38C;38D;38DD;;;;;;;;;;;;;;;
38.5-40.4;—;—;—;—;—;—;—;—;—;—;—;—;40AA;40A;40B;40C;40D;40DD;40DDD;40G;40H;40I;40J;40K;40L;40M;40N;40O;40P;—;—
40.5-42.4;;;;;;;;;;;;;;;;42A;42B;42C;42D;42DD;42DDD;42G;42H;42I;42J;42K;42L;42M;42N;42O;42P
42.5-44.4;;;;;;;;;;;;;;;;—;—;44A;44B;44C;44D;44DD;44DDD;44G;44H;44I;44J;44K;44L;44M;44N
44.5-46.4;;;;;;;;;;;;;;;;—;—;—;—;46A;46B;46C;46D;46DD;46DDD;46G;46H;46I;46J;46K;46L
46.5-48.4;;;;;;;;;;;;;;;;—;—;—;—;—;—;48A;48B;48C;48D;48DD;48DDD;48G;48H;48I;48J
48.5-50.4;;;;;;;;;;;;;;;;—;—;—;—;—;—;—;—;50A;50B;50C;50D;50DD;50DDD;50G;50H
50.5-52.4;;;;;;;;;;;;;;;;—;—;—;—;—;—;—;—;—;—;52A;52B;52C;52D;52DD;52DDD
